ptf,PTFS,PTFG,PTFH1,PTFH2,PTFH3,PTFH4,PTFH5,HVSC
149.99,150,139.99,150,147.41,150,145,149.99,2
150,149.99,150,150.1,149.95,150,145.59,149.99,0.5
147.86,150,149.99,149.99,140,149.99,139.36,140,0
128.99,147.86,134,117.99,115,135,129.99,138.99,0.5
100.07,128.99,123.94,110.01,88.3,129.75,123.85,129.99,-1
75,100.07,120.01,90,35.05,111.13,120.01,102.19,-0.67
69,75,115.99,89.99,19.99,100,104.99,52.99,0
69,69,110.23,90,10.01,99,35.04,49.99,-1.5
74.99,69,110.73,90.4,35.05,104.69,114.93,53,-2
109.99,74.99,116,116,110.01,125,130,120.01,-0.5
134.93,109.99,100.07,130.01,129,138,133.78,139,-1
150,134.93,100.05,150,159.84,150,150,154.99,-0.67
156,150,110.01,155,169.99,169.99,160,169.99,1.5
160,156,130,155.99,169.99,169.99,169.99,170,2
164.99,160,134.75,160,170,169.99,169.99,170,3
159.99,164.99,140.01,155,169.99,155.99,150,169.99,3
160,159.99,145,155,169.99,169.99,150,169.99,3
164.99,160,145,155.99,169.99,169.99,150,170,3
160,164.99,148.75,155,169.99,169.99,150,170,2
165,160,150,159.99,169.99,169.99,169.99,173.09,0.5
170,165,154.99,165,170,170,169.99,179.99,0
164.99,170,154.99,155,169.99,169.99,169.99,170,0.5
155,164.99,154.99,154.99,159.99,169.99,150.01,169.99,0
154.99,155,150,150,149.92,154.99,150,163.62,-0.33
150,154.99,149.99,149.99,145,150,149.99,157.99,-0.5
155,150,150,154.99,169.99,150,149.99,155.71,-1
150,155,147.86,149.99,169.99,149.99,144.48,150,-0.5
139.99,150,128.99,138.99,149.58,149.99,135.97,145,0
130.93,139.99,100.07,124.89,140,140,130,130,-1
115.99,130.93,75,114.36,129.09,130,126.22,119.24,-1
103.68,115.99,69,100,113.09,119.48,110.01,105.32,-1
100.08,103.68,69,99.01,110,119.74,110,110.01,-2
110.01,100.08,74.99,104.74,118,129.99,114.95,119.94,-2
129.99,110.01,109.99,125.59,137.68,139,120.39,135,-2.5
139.99,129.99,134.93,134,140.01,145.1,130,138.99,-3
149.99,139.99,150,149.16,164,169.99,149.96,153.99,-2
159.99,149.99,156,154.74,169.99,169.99,150,169.99,0
160,159.99,160,154.99,169.99,169.99,150,170,1.5
160.01,160,164.99,154.99,169.99,170,153.76,170,2
158.99,160.01,159.99,150,165.55,169.99,149.99,169.99,3
159.99,158.99,160,150,169.99,169.99,149.99,169.99,2.5
160,159.99,164.99,150,169.99,169.99,149.99,170,2.67
160,160,160,150,169.99,169.99,150,170,2.5
165,160,165,154.99,169.99,170,169.99,170,2
170,165,170,155,170,170,169.99,179.99,1.5
164.99,170,164.99,153.99,169.99,169.99,150,170,1
155,164.99,155,149.99,160,169.99,150,169.99,-0.5
154.99,155,154.99,134.75,155.85,169.99,149.99,162.17,-0.33
151.99,154.99,150,130,149.91,154.58,149.93,153.99,0
159.99,151.99,155,150.06,169.99,169.99,149.96,155,0
154.99,159.99,150,148.87,169.99,150,142.58,149.99,-1
150,154.99,139.99,128,144.99,148.56,130.01,144.92,-1
140,150,130.93,115.99,131.03,135.01,127.99,134.99,-1
134.74,140,115.99,109.99,117.31,130,115,119.76,-1.33
125.01,134.74,103.68,100.05,104.99,120.01,99.01,110.01,-1.5
123.03,125.01,100.08,99.01,100.03,117.12,100,110.01,-2.5
129.99,123.03,110.01,99,107.01,129,115,116.99,-3
